,0,1,2,3
460,0.225926,2.187247,11.09113,1
1622,0.256409,0.312913,10.032663,0
1168,-1.077199,-4.013257,2.376504,1
958,0.33356,-2.075294,8.990735,0
501,-0.191325,-2.073934,9.936474,0
739,0.098047,-0.215382,1.44085,1
1827,0.367472,0.246536,9.990909,0
868,0.302857,-2.389212,9.669175,0
731,1.065152,-2.513021,11.129916,1
539,-0.056666,-2.344661,9.652407,0
1201,0.428514,-2.06791,10.225616,0
697,0.453902,-1.16928,9.898319,0
1472,0.010697,1.144649,8.059361,0
1357,0.103506,-1.619974,9.828083,0
1145,-1.395676,-2.746868,23.826904,1
1031,0.078654,-0.466448,9.974138,0
372,0.724581,0.812056,10.212496,0
667,0.463996,-1.16839,9.904851,0
1506,-1.373898,1.036517,4.048911,1
357,-0.195932,-0.973645,9.88224,0
967,0.286471,-2.360367,9.702081,0
783,-0.499833,1.27361,7.686019,1
735,-0.260527,0.428476,13.198315,1
1035,0.078578,-0.460194,9.946471,0
970,0.091095,-0.43765,9.671494,0
1505,3.329358,1.575145,24.824692,1
1467,-0.126759,1.696311,8.902781,0
1794,0.372844,0.236844,9.952313,0
1471,0.064605,1.529991,10.421759,0
1672,2.559402,-2.7837,17.039688,1
1694,-1.310835,-0.662045,10.279783,0
1236,0.184047,-1.598743,9.658468,0
885,0.309848,-2.397707,9.65164,0
79,0.35,-0.25,10.0,0
1172,-0.249945,-0.83075,1.405214,1
814,0.27608,-2.329884,9.623341,0
1771,0.366706,0.247589,9.987547,0
671,0.456546,-1.175103,9.899459,0
1512,-0.417759,1.376762,2.534368,1
57,0.35,-0.25,10.01,0
133,-0.02,-2.87,16.96,1
1140,1.33312,-0.739329,-0.164328,1
933,0.307913,-2.391625,9.649074,0
1783,0.287553,0.322901,9.785907,0
823,0.327297,-2.378946,9.662098,0
1214,0.180389,-1.815887,10.311186,0
504,-0.979861,-2.550505,9.917062,0
1752,0.484902,0.188395,9.996232,0
347,-0.175907,-0.935625,9.930258,0
386,-0.901513,0.285839,9.623369,0
1024,0.076988,-0.463489,9.95963,0
894,0.315039,-2.375393,9.656027,0
828,0.299419,-2.400092,9.661676,0
1869,0.377843,0.246009,9.955723,0
475,-1.518345,1.102817,9.427514,1
1895,0.382124,0.257798,9.988801,0
1428,0.3218,0.461114,9.912119,0
1502,-0.744242,1.590765,4.488525,1
652,0.462368,-1.16838,9.885525,0
172,1.04,-1.1,3.59,1
1149,0.183693,-1.894656,14.588877,1
38,0.36,-0.22,9.96,0
713,-0.548512,0.479032,9.174916,0
90,0.36,-0.26,10.02,0
1911,0.392525,0.262625,9.983945,0
1205,0.035319,-1.337382,8.716292,0
875,0.328772,-2.393005,9.661475,0
1953,0.391356,0.26115,9.957111,0
1866,0.386673,0.255471,9.966908,0
1093,0.38743,0.529827,10.617902,0
1155,2.082419,-0.358479,9.784595,1
1344,0.092062,-1.620712,9.838598,0
1933,0.507312,0.367883,10.047497,0
499,-0.190329,-2.31436,10.045055,0
338,-0.193614,-0.943028,9.914073,0
1188,-0.591732,-1.822093,9.500364,0
28,0.36,-0.26,9.93,0
1217,0.149025,-1.529349,9.505373,0
1889,0.370134,0.256371,9.956412,0
1798,0.351124,0.23286,9.99831,0
945,0.302206,-2.405713,9.661188,0
169,6.54,-2.9,9.31,1
1385,0.078061,-1.61826,9.992871,0
1197,0.43381,-1.112949,7.869195,0
1253,0.096343,-1.625251,9.828007,0
